,Lijst van personen
1192,Catherine Dierckens
1193,Marnix De Cat
1194,Philippe Baste
1195,Benjamin Van Thiel
1196,Brigitte Verelst
1197,Agnes Fleerackers
1198, Rayé
1199,Maartje Wortel
1200,An Willemsen
1201,Lore Borremans
1202,Shadi Torbey
1203,Bill Frisell
1204,Fien van der Aa
1205,Chris Boni
1206,Tomos Young
1207,Marguerite Yourcenar
1208,Jasper Brandis
1209,Paul-Emile Van Royen
1210,Marina Smolders
1211,Joop Pareyn
1212,Roland Aeschlimann
1213,Tom Deneckere
1214,Vilayanur Ramachandran
1215,Ezra Fieremans
1216,Patrick van Goethem
1217,Cesar De Sutter
1218,Nefeli Myrtidi
1219,Ela Baumann
1220,Anwar Mohammed
1221,Monica Colonna
1222,Erik Lagrain
1223,Gerry Hendrickx
1224,Fleur Van Rumst
1225,Gaël Santisteva
1226,Sima Khatami
1227,Rahel Kesselring
1228,Mounia Bouhajra
1229,Vasyl Vykhodcevskyi
1230,Ibrahim Zaïdi
1231,Jana Declercq
1232,Robert Waelkens
1233,Adam Silverman
1234,Marcel Hensema
1235,Michaël Pomero
1236,Sofie Peeters
1237,Ellen Stynen
1238,Russel Crouse
1239,Jean Desmaele
1240,Raimo Sirkiä
1241,Jackie Dewaele
1242,Johan Dehaes
1243,Attilio Cremonesi
1244,Isa Lemaitre
1245,Frans Depeuter
1246,Wolfgang Mennel
1247,Yuji Oshima
1248,Isaäk Hofland
1249,Rosemarie Bergmans
1250,Hilde De Baerdemaeker
1251,Hussein Chalayan
1252,Alice Chauchat
1253,Eugène Scribe
1254,Denis Hooremans
1255,Melanie Sowa
1256,Bram Vermeulen
1257,Paul Celan
1258,Tom Verschoore
1259,Haruka Anouk Sugihara
1260,Anton De Becker
1261,Jan Jacops
1262,Jeroen Bert
1263,Michael Keegan-Dolan
1264,Serge Kakudji
1265,Sarah Heutz
1266,Jeroen Versteele
1267,Hadas Cna'ani
1268,Rudy Sabounghi
1269,Thomas Van Caeneghem
1270,Markus Köbeli
1271,Sarah Blion
1272,Jacques Leemans
1273,Dramane Zongo
1274,Todd McQuade
1275,Roos Dooms
1276,Dietrich Henschel
1277,Ana Naqe
1278,Linnea Martinsson
1279,Jan Vromman
1280,Bart Plouvier
1281,Ulf Stark
1282,Tom Kestens
1283,John Ghersin
1284,Havard Stensvold
1285,Carmen Van Nyvelseel
1286,Chantal Panneau
1287,Luc Coeckelberghs
1288,Ludo Winkelman
1289,Jonas De Ro
1290,Alexandrina Pendatchanska
1291,Jung-Ae Kim
1292,Ruth Vega Fernandez
1293,Jan Wijns
1294,Michael Bennett
1295, Dj Black Francis
1296,Roland Topor
1297,tómas Lemarquis
1298,Robrecht De Spiegelaere
1299,Max Bruckert
1300,Marcel Schmalgemeijer
1301,Cootje Veelenturf
1302,Kristof Verhassel
1303,Wouter De Belder
1304,Graciela Zaera
1305,Wim Groen
1306,Arman Barseghyan
1307,Anne Van Laethem
1308,Patrick Stewart
1309,Eva De Baets
1310,Seppe Donvil
1311,Iqra Bashir-Dar
1312,Sarah Van Geel
1313,Mark Wigglesworth
1314,Bert Coucquyt
1315,Rainer Lewandowski
1316,Kabboura Nmiyech
1317,Flup Beys
1318,Martine Gaspar
1319,Josephine Soer
1320,Anne Mertens
1321,Veerle Van Rossom
1322,Heinz Kruse
1323,Robert Siân
1324,Jobbe Hoebink
1325,Jan Boonen
1326,Patricia Beysens
1327,Petra Oonk
1328,Laura Arís Alvarez
1329,Hedwig Pevernage
1330,Tijs Delbeke
1331,Frederik Huys
1332,Emre Sokmen
1333,James Homann
1334,Eric De Volder
1335,Luciano di Pasquale
1336,Manon Stassen
1337,Jeroen Peeters
1338,Vera Van Den Berghe
1339,Joris Bosmans
1340,Conté Morlaye
1341,Jan Huib Nas
1342,Youssef Elajmi
1343,Carla Van Geel
1344,Joke Depreitere
1345,Daniel Voisin
1346,Maxim De Zitter
1347,Jonas Jonsson
1348,Owain Browne
1349,Yussef Aharar
1350,Peter Lesage
1351,Charles Balfour
1352,Khaled Barghouthi
1353,Youri Van Uffelen
1354,Alberto Sanchez Diezma
1355,Stein Winge
1356,Melanie Lane
1357,Hadewijch Oplinus
1358, Les Vêtements Dumas
1359,Mariette Van Arkels
1360,Jeroen Maes
1361,Seckou Ouologuem
1362,Jennifer Griesbach
1363,Patrick Dhooghe
1364,Sergio Morabito
1365,Olivier Sferlezza
1366,Susanne Kennedy
1367,Luc De Winter
1368,Leon Voorberg
1369,Sylvain Lebeux
1370,Dirk Thienpont
1371,Jeroen Fonteyn
1372,Emmanuelle Schotsaert
1373,Mark Janicello
1374,Julia Hansen
1375,Albert Van Tichelen
1376,Myriam Carbon
1377,Steve Martin
1378,Damien Chapelle
1379,Andres Waksman
1380,Ivan Siller
1381,Enrique Noviello aka Kike
1382,Sofie Palmers
1383,Sara Gilis
1384,Stefano Questorio
1385,Alexandra Bachzetsis
1386,Thierry Mathieu
1387,Clare Cooper
1388,Roch Baumert
1389,Pieter Gyssels
1390,Lê Quan Ninh
1391,Jelle De Wit
1392,Deborah Black
1393,Sebastian Butt
1394,Maya Vleeshouwers
1395,Fikria El Abbouri
1396,Ruben Verbruggen
1397,Koen Monserez
1398,Guusje Van Tilborgh
1399,Tsubasa Hori
1400,Elias Lazaridis
1401,Julia Akkermans
1402,Kristof Oosterlynck
1403,Peter Van Straaten
1404,Timur Ratlas
1405,Yen Stolk
1406,Lobke Leirens
1407,Nabil Barssa
1408,Betty Maretele
1409,Annabell Van den berghe
1410,Jean Tubéry
1411,Johan Dils
1412,Roos Euwe
1413,Senne Rouffaer
1414,Betty Schuurman
1415,Fay Patterson
1416,Tina Mchugh
1417,Alexander Martin
1418,Ivana Jozic
1419,Maria Clara Villa-Lobos
1420,Guy Harding
1421,Martina Serafin
1422,Dominique Visse
1423,Jacqueline Van Quaille
1424,Deborah Westerlinck
1425,Marius Tundu
1426,Christian Lujan
1427,René Eljon
1428,Liesbet Cuvelier
1429,Rob Frans
1430,Dave Pepels
1431,Miel Van Hasselt
1432,Inès Van Lautem
1433,Graziella Boggiano
1434,Annick De Smet
1435,Laura Van Rossum
1436,Iain Burnside
1437,Galina Kalinina
1438,Olivier Spiro
1439,Dmitri Voropaev
1440,Dirk Boone
1441,Ayana Goldstein
1442,Nele Devillé
1443,Tina Maerevoet
1444,Soetkin Cauwe
1445,Benjamin Quigley
1446,Lieve Meyer
1447,Sofie Van den Bulcke
1448,Jared Gradinger
1449,Marc Matthijs
1450,Johan De Bock
1451,Catherine Munier
1452,Nickolas  Van Corven
1453,Sara Lemaire
1454,Sophie Verbeke
1455,Britt De Roeck
1456,Dennis Vandenbroeck
1457,Geert Simoen
1458,Tony Blanchard
1459,Filip Vandebril
1460,Koen Overloop
1461,Céleste Zewald
1462,Bárbara Echevarría
1463,Roeland Van Noten
1464,René Linnenbank
1465,Benjamin Muller
1466,Edward Ravenscroft
1467,Jan De Bruyne
1468,Mieke Proost
1469,Stuart Neill
1470,Felix Luque
1471,Laura Sundermann
1472,Francis Ghaide
1473,Benoît Gob
1474,Walter Verhoeven
1475,Bram De Rijcke
1476,Dries Bastiansen
1477,Szymon Brzóska
1478,Ioulia Timofeeva
1479,Lara De Bruyne
1480,Vitor Roriz
1481,Ruth Beesley
1482,Nicolas Déflache
1483,Georges Elie Octors
1484,Ans Schoepen
1485,Emmanuel Schwartz
1486,Erik Behaeghel
1487,Marcus Farnsworth
1488,Daan van Bendeghem
1489,Gabriel Van Landeghem
1490,Roel Poriau
1491,Jan Schepens
1492,Ingrid De Vos
1493,Tasja Doom
1494,Lien Wildemeersch
1495,Joz Deconinck
1496,Montagu Slater
1497,Lenneke Bisschop
1498,Jokke Vanderlinden
1499,Dorien Clement
1500, Bukowski
1501,Seliene Van Laer
1502,Jo Dunkel
1503,Inne Eysermans
1504,Derk Stenvers
1505,Mathew Bridle
1506,Griet De Geyter
1507,Jo Timmens
1508,Peter Gijsbertsen
1509,Earl Baret
1510,Patricia Jansen
1511,Kristof Van Hoorde
1512,Masahiro Kohama
1513,Philippe Beloul
1514,Burkhard Fritz
1515,Nell Donkers
1516,Ales Cucek
1517,Hans-Dieter Gillessen
1518,Dinorah Iorio
1519,Maarten Vanden Abeele
1520,Lukas De Wolf
1521,Lula Val d'Or
1522,Liesbeth Houtain
1523,Jirí Kylián
1524,Katia Carvalho
1525,Suzette Van Rooyen
1526,Edouard Zormar
1527,Caitlin Hulcup
1528,Tom De Bruycker
1529,Bart Devos
1530,Carin Eilers
1531,Viviana Montenegro
1532,Roos Van Vlaenderen
1533,Francine Semetier
1534,Mon Nys
1535,Elke De Swert
1536,Christine van Stralen
1537,Hans Leether
1538,Kevin Anderson
1539,Ludo Isanene
1540,Ann Hamilton
1541,Hannah Bekemans
1542,Miguel Decleire
1543,Steven Ledoux
1544,laura Sépul
1545,Jo Huylebroeck
1546,Gerda Vandenbroucke
1547,Anatoli Kotcherga
1548,Koen Tachelet
1549,Krijn Hermans
1550,Dorothea Röschmann
1551,Siet Raeymaekers
1552,Yousif Abbas
1553,Edith Goddeeris
1554,Eva Six
1555,Jorma Silvasti
1556,An Pierlé
1557,Frieda Couwberghs
1558,Barbara Vandendriessche
1559,Erich Wonder
1560,Seie Goris
1561,Annelies Seeuws
1562,Julia Krause
1563,Greta Lintz
1564,Jivka Kaltcheva
1565,André Lefèvre
1566,Hilde Bergé
1567,Jess Voeten
1568,Frédérique Dom
1569,Liselotte Mostinckx
1570,Zbigniew Bzymek
1571,Yolanda Van Campen
1572,Majella Opdenacker
1573,Hilde Hebbinckuys
1574,Dylan Thomas
1575,Ryszard Turbiasz
1576,Luc Hoebeke
1577,Evy Menschaert
1578,Rudy Trouvé
1579,Brecht Beuselinck
1580,Lula Béry
1581,Pol Seghers
1582,Mechthild Schwienhorst
1583,Nele Warson
1584,Nephtalie Van der Borght
1585,Yoann Blanc
1586,Orhan Pamuk
1587,Anna Bentivegna
1588,Henrik Vibskov
1589,Silvio Varviso
1590,Dimiz Sanchez
1591,Katarina Bistrović-Darvaš
1592,Jurgen De Bruyn
1593,Cindy Michielsen
1594,Ciara Lenihan
1595,Gidi Meesters
1596,Luc Mishalle
1597,Karen Vanderborght
1598,Mélanie Couraud
1599,Christianne Fock
1600,Johannes Mannov
1601,Keith Tillotson
1602,Marlis Petersen
1603,Aziz Boukzar
1604,Bram Kelchtermans
1605,Margreet Van Der Heyden
1606,André Lefevre
1607,Luc Frans
1608,Alexander Coppenolle
1609,Frans Verschueren
1610,Alan Melville
1611,Yuri Bongers
1612,Lee Hall
1613,Barbara Falco
1614,Marleen De Smet
1615,Mark Pozlep
1616,Ales Briscein
1617,Eva Baumann
1618,Luc Callens
1619,Jérôme Billy
1620,Carla Hoogewijs
1621,Sterre De Raedt
1622,Jimmy Little
1623,Jules Massenet
1624,Jasmijn Van den Berg
1625,Sarah Kane
1626,Tabasheer Zutshi
1627,Betty Gilbert
1628,Justin Glaie
1629,Heidi De Grauwe
1630,Francesca Chiacchio
1631,Eric De Weert
1632,Bernard Boelens
1633,Sanne Vogel
1634,Erwin Schrott
1635,Bernard Gigounon
1636,Mohamed Toukabri
1637,Monique De Maertelaere
1638,Steven De Rijck
1639,Dorothé Depauw
1640,Toon Vandevelde
1641,Hannah van Lunteren
1642,Gerard Olthaar
1643,Christian D. Guerematchi
1644,Geert Goiris
1645,Odoo-Gorges Selorm
1646,Thor Vandenbossche
1647,Niels Van Tomme
1648,Simon Halsey
1649,Soetkin Jacobs
1650,Anne Guffens
1651,Tineke Caels
1652,Georg Friedrich Händel
1653,Peter Handke
1654,Laure Myers
1655,Abdoulaye Gueuye Badji
1656,Kamal Qebayli
1657,Danny Van Rietvelde
1658,Andy Dhondt
1659,Quing Li
1660,Radek Hewelt
1661,Nils Verbeeck
1662,Kris Dom
1663,Roland Serpierre
1664,Mona Van den Bossche
1665,Kalina Malehounova
1666,Annelore Crollet
1667,Mike Kenny
1668,Nicole Van Palm
1669,Amarillys Dieltiens
1670,Irena Yebuah Tiran
1671,Hanif Kureishi
1672,Rafael Velazquez
1673,Rudy Coffé
1674,Hortense Vanhove
1675,Lotte De Bruyn
1676,Marika Ingels
1677,Klaus Gmeiner
1678,Hans Primusz
1679,Ieke Trinks
1680,Tine Ducatteeuw
1681,Ingrid Van Hove
1682,Eleanor Hovda
1683,Natalie Leenders
1684,Karen Douessin
1685,Pascale Dismonds
1686,Angel Kaba
1687,Linse Van Gool
1688,Heidi Ehrhart
1689,J.D. Salinger
1690,Julien Erdeich
1691,Lucas Devriendt
1692,Vincent Hepp
1693,Eno Krojanker
1694,Bohumil Hrabal
1695,Tom Kets
1696,Vanessa Kools
1697,Michèle Verbruggen
1698,Teun Verbruggen
1699,Joana Marcelino Rodrigues
1700,Arne Sierens
1701,Chiara Sieuws
1702,Klara Ulman
1703,Benjamin Tonon
1704,Steven De Staercke
1705,Marion Ammann
1706,Åsa Frankenberg
1707,Gianluca Nobile
1708,Ingrid Vander Veken
1709,Stef Verstrepen
1710,Hanna Schaer
1711,Christophe Orly
1712,Marie Szersnovicz
1713,Nele Delafonteyne
1714,Manu Corazzini
1715,Eugène Ionesco
1716,Catherine Eyben
1717,Christine Chapman
1718,Berry Van Oudheusden
1719,Pascale Denert
1720,Carey Perloff
1721,Hugo Recko
1722,Guido De Bruyn
1723,Kassian Troyer
1724,Koen Peeters
1725,Marc Mosar
1726,Nele Van den Broeck
1727,Peter Kirschen
1728,Patrick Descamps
1729,Reijer Zwaan
1730,Erik Bassier
1731,Corinne Winters
1732,Fernando Melo
1733,Pieter Janssens
1734,Jan-Peter Gerrits
1735,Caroline Van Dyck
1736,Wigbert Van Lierde
1737,Peter Weiss
1738,Sarah Pector
1739,Kris Deprey
1740,Pillet Fabrice
1741,Mohammed Bari
1742,Dirk Descheemaeker
1743,Heinrich Schiff
1744,Frank Van Reeth
1745,Margreet Sweerts
1746,Anke Herrmann
1747,Diliana Nikiforova
1748,Mari Alföldy
1749,Ae Jin Huys
1750,Camilla Marienhof
1751,Audrey Riesen
1752,Wim Dewilde
1753,Ilse Maes
1754,Brett Polegato
1755,Brenda Vangerven
1756,Anthony Mee
1757,Nicolas Bénard
1758,Cynthia Buchan
1759,Hélène De Reymaeker
1760,Ferhan Aktay
1761,Hannes D'Hoine
1762,Eric Faes
1763,Nemanja Stojanovic
1764,Lieve Verbeeck
1765,Gable Roelofsen
1766,Sayaka Kaiwa
1767,Ross Feller
1768,Paul Gallis
1769,Sarah Fox
1770,Lucas Van Remoortel
1771,Henk van der Geest
1772,Shimpei Yamada
1773,Namik  Mackic
1774,Bruno Vanden Broecke
1775,Marc Vanlimbergen
1776,Noémie Bialobroda
1777,Marisa Van Andel
1778,Els Leysen
1779,Silvia Costa
1780,Gaële Le Roi
1781,Jempie Vermeulen
1782,Ewoud Dutelie
1783,Giacomo Badoaro
1784,Kobie Van Rensburg
1785,Pieter Hollants
1786,Oliver Van De Voorde
1787,Julie Marynissen
1788,Véronique Decroës
1789,Erik Thielemans
1790,Freddy Tsimba
1791,Noëlly Bracquez
1792,Anke Pesch
1793,Steven Herregodts
1794,Febe De Geest
1795,Anne Weber
1796,Kristine Jepson
1797,Julia Rommel
1798,Annick Bongers
1799,Steven Jans
1800,Bart Vandijck
1801,Prince Lengoasa
1802,Andy Smart
1803,Rebecca Huys
1804,Iza De Zutter
1805,Martin Van Zundert
1806,Olga Knipper
1807,Badri Maisuradze
1808,Céline Zandecki
1809,Dirk Decoene
1810,Miah Persson
1811,Wim Selles
1812,Roman Ndomba
1813,Fflur Wyn
1814,André Philippaerts
1815,Leen Diependaele
1816,Michelangelo Antonioni
1817,Henk De Laat
1818,Bert Jans
1819,Peter De Kimpe
1820,Willy Russell
1821,Jorgen Cassier
1822,Anna Luyten
1823,James Saunders
1824,Shirly Laub
1825,Jochem Vanagt
1826,Heather Lang
1827,Frauke Dendooven
1828,Barbara Henry
1829,Circé Lethem
1830,Manou Laureyssens
1831,Cornelis Cuylaerts
1832,Johan Sobrie
1833,Christoph Pardo
1834,Dirk Van Esbroeck
1835,Anne Niepold
1836,Martin Lopez Muro
1837,Mieke De Groot
1838,Enrico Casari
1839,Jessica Helbach
1840,Isabelle Dumont
1841,Rochsane Taghikhani
1842,Ananke Indigne
1843,Frans-Joseph Van Agt
1844,Carla di Censo
1845,Pat Sterckx
1846,Lawrence Zazzo
1847,Stefanie Leekens
1848,Sophie Koch
1849,Dirk Belloy
1850,Rodolphe Dubreuil
1851,Guido De Simpelaere
1852,Paulien De Vos
1853,Beate Arndt
1854,Sergei Leiferkus
1855,Erika De Stercke
1856,Ludovic Morlot
1857,Hussein Atshan
1858,Maurits Hoppe
1859,Nazmiye Oral
1860,Trees De Bruyne
1861,Gretel Vaesen
1862,Ieva Miseviciutè
1863,Tom Slegers
1864,Anna Vandertaelen
1865,Eva Klimackova
1866,Michel Picha
1867,Vincent Glowinski
1868,Leslie Branckaute
1869,Jan Moonen
1870,Filip Stuerbout
1871,Elise Moreau
1872,François Pierron
1873,Kaspar Kraemer
1874,Cuauhtémoc Garmendia
1875,Nathalie Vandael
1876,René Frere
1877,Joost Busschaert
1878,Salman Saimouaa
1879,Rana Celiktas
1880,Bert Van Elst
1881,Stoffel Verlackt
1882,Veerle Michiels
1883,Claudia Schubert
1884,Tuur De Weert
1885,Walter Schudel
1886,Sanneke Van Hassel
1887,Philipp Hochleichter
1888,Géry Cambier
1889,Filip Eyckmans
1890,André Gorz
1891,Jeroen Robbrecht
1892,Monika Van Lierde
1893,Laure Vovard
1894,Frank Van De Ven
1895,Elisabeth Marain
1896,Annie Van Keymeulen
1897,Tania Van der Sanden
1898,Diana Vivian
1899,Serge Larivière
1900,Renaat Lauriks
1901,Tyson Kwanten
1902,Jean-Sebastien Callewaert
1903,Freddy Knockaert
1904,András Éltető
1905,Anneleen Nauwelaerts
1906,Kurt-Heinz Stolze
1907,Joke Debaere
1908,Yen Kaci
1909,Lorenzo Muzi
1910,Vladimir Nemirovitch-Dantchenko
1911,Matties Van Gijsegem
1912,Hanna Bardos
1913,Jan Rzewski
1914,Peter Drost
1915,Elise Caluwaerts
1916,Bérengère Bidon
1917,Muriel Dewimille
1918,Ray Lang
1919,Bert Caeckelbergh
1920,Leen Bogaerts
1921,Gilles Fumba
1922,Adrijana Barbarec
1923,Efrat Rubin
1924,Christoph Marthaler
1925,Max Vandervorst
1926,Juliette Van Peteghem
1927,Cortese Granieri
1928,Peter Shenton
1929,Liliana Bizineche
1930,Natascha De Smet
1931,Frederik Neyrinck
1932,Donald Margulies
1933,Carmelo Fernandez
1934,Frank Laubenheimer
1935,Botho 'Bo' Jonas Tarenskeen
1936,Tom Wolf
1937,Karina Mertens
1938,Jelle Carron
1939,Manja Topper
1940,Freddy Suy
1941,Aloisius Van Overvelt
1942,Micheline D'hertoge
1943,Jan Vercauteren
1944,A.A. Milne
1945,Dara Sheikhi
1946,Dries Geusens
1947,Lillian Watson
1948,Ann Verreth
1949,Dario Christiaens
1950,Herbert Achternbusch
1951,Steven Segers
1952,Nathalie Delcroix
1953,Maria Dewit
1954,Raphael Vandeweyer
1955,Najmiddin Mavlyanov
1956,Lotte Vanfraechem
1957,Clara Rubio
1958,Bruno Stappaerts
1959,Björn Serlet
1960,Marial van Staeyen
1961,Annie Bijnoord
1962,Noémie Goudal
1963,Tom Wauters
1964,Gabriela Pereiera
1965,Senne Van den Broeck
1966,Thierry Vallier
1967,Yinka Kuitenbrouwer
1968,Tore Denys
1969,Ger Apeldoorn
1970,Simon Keenlyside
1971,Bianca Franken
1972,Zita Winnubst
1973,Mieke Ailliet
1974,Roos Ouwehand
1975,Lieve Verdonck
1976,Paul Schott
1977,Michel Verkinderen
1978,Marie-Pierre Meinzel
1979,Maaike Somers
1980,Dirk De Lathauwer
1981,Janis Joplin
1982,Fauve Lybaert
1983,Hussein Shabeeb
1984,Moagi Modise
1985,Frank Van Wolleghem
1986,Marc De Win
1987,Lieke-Rosa Altink
1988,Miro Demeulder
1989,Ayumi Florio
1990,Ilse Heip
1991,Lieven David
1992,Richard Wagner
1993,Juan Arrieta
1994,Laura Van Lommel
1995,Geert Hoste
1996,Guy Joosten
1997,Nicky Spence
1998,Koen Janssen
1999,Mark Van Extergem
2000,Francine De Veylder
2001,Samira Es Souissi
2002,Mikko Hynninen
2003,Veerle Vaes
2004,Louba Nikiema
2005,Luca Pfaff
2006,Luke Jessop
2007,Liselot Van Olmen
2008,Irene Carpentier
2009,Giorgio Gaber
2010,Wouter Vanhoutte
2011,Wouter Dierckx
2012,Ismael Jordi
2013,Mathilde Geens
2014,Umberto Chiummo
2015,Renny O'Shea
2016,Ronny Mosuse
2017,Lieve Suys
2018,Marie-Rose Mayele
2019,Jeroen Lenaerts
2020,Clint van der Linde
2021,Kaori Ito
2022,Jan Deboom
2023,Cyriel Van Gent
2024,Hannah Venet
2025,J. Guitton
2026,Sophie Reble
2027,Jean-Pierre De Decker
2028,Erik Bogaerts
2029,Wilfried Martin
2030,Palle Dyrval
2031,Anna Henckel-Donnersmarck
2032,Ludwig Dierinck
2033,Ron Jones
2034,Patrick Smets
2035,Brendan Collins
2036,Soazic Reek
2037,Sergei Naida
2038,Johan Reyniers
2039,Adriaan Morrien
2040,Leen Minten
2041,Nico Heremans
2042,Ronald Zollman
2043,Adel Khaled
2044,Hans Van Dam
2045,Mohamed Naasi
2046,Daan Kapteijn
2047,Emanuele Nicolotti
2048,Karlon Fonteyn
2049,Florence Lê
2050,Dirk De Strooper
2051,Céline Vandendriessche
2052,Nadia Lauro
2053,Yasmina Boudia
2054,Annika Serong
2055,Donna Zakowska
2056,Einat Tuchman
2057,Maud Le Pladec
2058,Gerardine Franken
2059,Thierry Craeye
2060,Hannah Esther Minuttillo
2061,Melissa Anckaert
2062,Tomasz Wygoda
2063,Robrecht Ghesquière
2064,Leen Mathyssen
2065,Jeffrey Jones
2066,An Raskin
2067,Liesbet Verbeeck
2068,Kate Mayne
2069,Rutger Zuydervelt
2070,Georges Emmanuel
2071,Jörg Kossdorff
2072,Howard Goodall
2073,Daniela Villaret
2074,Ton De Witte
2075,Kimberly Major
2076,Free Desmyter
2077,Yasmin Noël
2078,Joos Van Goethem
2079,Peter Mussbach
2080,Patrick Ryngaert
2081,Boualeme Ben-Gueddach
2082,Kato Van Rooy
2083,Jan Degen
2084,Krzysztof Solek
2085,Etienne Vanbergen
2086,Daniel Sumegi
2087,John Dowland
2088,Urundi Lack
2089,Gerard Mortier
2090,Mieke Lindenburg
2091,Binevsa Berivana
2092,Annelies Verbeke
2093,Tom Van Overberghe
2094,Hanna Bayodi
2095,Kai-Uwe Fahnert
2096,Hans Meyer
2097,Christian Friedländer
2098,Marcos Vinals Bassols
2099,Nadia Lorenzetti
2100,Joanne Fong
2101,Gillian Carson
2102,Ief Van Der Auwera
2103,Shiva Fallahi
2104,Michael Miranda
2105,Sarah Roels
2106,Léony Kraemer
2107,Frank Maes
2108,Rosalba Torres Guerrero
2109,Sumeya Yaman
2110,Ludwig Minkus
2111,Dalia Taha
2112,Lisa Deleu
2113,Els Van Keymeulen
2114,Els Becu
2115,Gino Coomans
2116,Rebecca Caine
2117,Johan De Brouwere
2118,Brechtje Van Bel
2119,Jotka Bauwens
2120,Julie Verbinnen
2121,Florian Vogt
2122,Maria Kraakman
2123,Paul Codde
2124,Romeo Lothy
2125,Geneviève Verhage
2126,Astrid Schotte
2127,Amélie Marneffe
2128,Pieter Claus
2129,Nadine Denize
2130,Marc Peeters
2131,Pierre Verboven
2132,Frederik Heirman
2133,Timothy Brown
2134,Tjalling Wijnstra
2135,Els Van Steenberghe
2136,Michaël de Roo
2137,Silas Monyatsi
2138,Hubert Baudoncq
2139,Grégoire Malandain
2140,Alexander Scriabin
2141,Britt Van Alsenoy
2142,Hector Islas
2143,Sven Boels
2144,Dona S. Veliganio
2145,Luc De Smet
2146,Gregory Maqoma
2147,Anne Beek
2148,Aurélie Thiolat
2149,Calixte De Coster
2150,Dino Hasankadic
2151,Juschka Weigel
2152,Chantal Callewaert
2153,Maria Gortsevskaya
2154,François De Carpentries
2155,Maarten Verbeuren
2156,Melanie Van Vlasselaer
2157,Piersandra Di Matteo
2158,Aline Goffin
2159,Frederic Rzewski
2160,Manfred Lehnen
2161,Saartje De Muynck
2162,Viviane De Laet
2163,Wouter Decorte
2164,Lana Lippens
2165,Eva Oltivànyi
2166,Tatjana Gürbaca
2167,Katrien De Muynck
2168,Jan Eelen
2169,Stefanie Van Impe
2170,Eddy Levens
2171,Freddy Schoonackers
2172,Charlotte Dafni Vavourakis
2173,Norma Hendy
2174,Rune Leysen
2175,Richard Lewis
2176,Filip Vekemans
2177,David Ruland
2178,Linda Mcleod
2179,Henk Vandecaveye
2180,Elise Goedgezelschap
2181,An Vandevelde
2182,Naomi Gibson
2183,Jacqueline Kaptein
2184,Daniel Proietto
2185,Paulo Duarte
2186,Peter Vandenberghe
2187,Hannah Cogen
2188,Armando Dios
2189,Franca Rame
2190,Kristof De Dycker
2191,Sara DeCorso
2192,Fatou Traoré
2193,Benoît De Leersnyder
2194,Bianca van der Schoot
2195,Andrea Jabor
2196,Thomas Dessein
2197,María José Siri
2198,Winnie Deruyck
2199,Bianca Brunin
2200,Evelyne Rossie
2201,Alex Van Aeken
2202,Kris Slootmaecker
2203,Ella Van Drumpt
2204,Catherine Cheyssial
2205,Philippe Weiler
2206,Tutu Puoane
2207,Luce Irigaray
2208,Sulochana Brahaspati
2209,Wim Baeck
2210,Cornelia Kallisch
2211,Antonio Somma
2212,Audrey Vandenhaute
2213,Jean-Pierre Laporte
2214,Rohanna Halls
2215,Catherine Ailloud-Nicolas
2216,Vladimir Slavov
2217,Patrick Dhooge
2218,Elke Roels
2219,Anita De Merlie
2220,Ivor Bolton
2221,Guus Ponsioen
2222,Jarek Frankowski
2223,Melissa Ligurgo
2224,Dario Castello
2225,Maxime Waladi
2226,Frans Poelstra
2227,Kanza Mees
2228,Christoph Frick
2229,Matthieu Virot
2230,Juliet Onoy
2231,Patrice Caurier
2232,Denzel Obasi
2233,Dries Jacobs
2234,Bert Hellemans
2235,Rudy Suwyns
2236,Wim Konink
2237,Maarten Wijnen
2238,An Reusen
2239,Vladimir Chernov
2240,Ronnie Johansen
2241,Dorine Cremers
2242,Domenico Cimarosa
2243,Germán Jauregui Allue
2244,Katrien Van Droogenbroeck
2245,Enrico Fissore
2246,Alexander Paeffgen
2247,Lisa Lapauw
2248,Stijn Ubaghs
2249,Domenico Giustino
2250,Lucius Romeo-Fromm
2251,Bert Roman
2252,Dawn Fay
