,Lijst van personen
935,Toby Girling
936,Michel Lindner
937,Theresa Rebeck
938,Ana Carolina Avila Perez
939,Ingrid Dullens
940,Sanwar Mohammad Alam
941,Claudia Leenaerts
942,Carl Davis
943,Tony Gyselinck
944,Gwynne Howell
945,Joseph Calleja
946,Janis Kelly
947,Nicolas Clemens
948,Patricia Timmermans
949,Karys McNeil
950,Joel Lauwers
951, Vermeulen
952,Amid Chakir
953,Jef Lambrecht
954,Diederick Nuyttens
955,Colas Lucot
956,Gilad Ben Ari
957,Gregory Caers
958,Mieke Van De Gehuchte
959,Lia Andres
960,Walter Rits
961,Vilma Pitrinaite
962,Mieke Deley
963,Luc Van Nyvelseel
964,Bart Thiebaut
965,Olympe Tits
966,Chantalla Pleiter
967,Koen De Ruyck
968,Charlotte De Wulf
969,Patricia Goemaere
970,Tina Malakate
971,William Orlandi
972,Jan Van Grisel
973,Alexei Fadeyechev
974,Lena Vekemans
975,David Parker
976,Vincent Jansen
977,Eveline Verbist
978,Stefan S'heeren
979,Giovani Vanhoenacker
980,Izumi Aoyagi
981,Carlos Belbey
982,Sara Wiktorowicz
983,Dimitri Verhoeven
984,Guy Hostie
985,Pedro G. Romero
986,Francis Olivier Brunet
987,Jean-Marie Fiévez
988,Jozefien Debaillie
989,Hans-Joachim Ketelsen
990,Marijke Van Pottelbergh
991,Rob Van Ertvelde
992,Sylvia Gonzalez y Serrano
993, Vidiotics
994,Antoine Camps
995,Mieke Delauré
996,John Fowles
997,Alexander Kisselev
998,Veva Brans
999,Claudine Denis
1000,Marthe De Saedeleir
1001,Steve Paxton
1002,Chloé Perilleux
1003,Grant Dickson
1004,Michaël Ghekiere
1005,Angela Müller
1006,Ivo Michiels
1007,Ada Rajszys
1008,Isabel Junius
1009,Laurent Goedertier
1010,Piet Goosen
1011,Ettore Scola
1012,Hassan Blasim
1013,Lieve Jacobs
1014,Henry Bauchau
1015,Fabienne D'hose
1016,Carlo Rizzi
1017,Thomas Lorenz-Hering
1018,Guillaume Schievers
1019,Stefan Dijkman
1020, Williams La Verne
1021,Kelly Mckinnon
1022,Jorma Elo
1023,Wilmos Vojdai
1024,Diane Van Der Aa
1025,Jef Cremer
1026,Michel Vinaver
1027,Conlon Nancarrow
1028,Johan Van Lierde
1029,Xuan Nguyen
1030,Francesca Rossi
1031,Lénaic Brulé
1032,Jago Moons
1033,Francis Danloy
1034,Kobe Saelens
1035,Matthias Van de Brul
1036,Noura El Hajjouti
1037,Lucas Cortoos
1038,Thomas Vermaercke
1039,Tim David
1040,Aurore Verpoort
1041,Karen Peeters
1042,Gabriel Suovanen
1043,Hilde Wils
1044,Sherry Kramer
1045,Gyuri Spies
1046,Coral Ortega
1047,Camille Brillouet
1048,Marina Wackenier
1049,Joy Thielemans
1050,Anne van Schaik
1051,Deborah Abrahams
1052,Karen Lamberts
1053,Mette Ingvartsen
1054,Andreas Lindenbaum
1055,Kevain Vermeulen
1056,Maria José Baião
1057,Steven De Loose
1058, Katalina
1059,Gerd De Ley
1060,Stephen Betteridge
1061,José Manuel Zapata
1062,Bien De Moor
1063,Rafal Popiela
1064,David Jonathan
1065,Laura Theis
1066,Dada Masilo
1067,Sébastien Dutrieux
1068,Nicolas Gielkens
1069,Mahlu Mertens
1070,Chaymae El Makoulfi
1071,August Stramm
1072,Allan Kempeneers-Torres
1073,Emanuele Giannino
1074,Ingrid Godon
1075,Mårten Spångberg
1076,Mirko Feliziani
1077,Jean Blaute
1078,Jan de Wolf
1079,Matthias Meppelink
1080,Giselle Allan
1081,Sam Shepard
1082,Anneke Deckers
1083,Lotti Verwest
1084,Kris Van 't Hof
1085,Ingrid Devos
1086,Maya Dalinsky
1087,Reid Farrington
1088,Omuz Omuza Baila
1089,Carmen Schabracq
1090,Katri Vereecken
1091,Matthieu Ferry
1092,Ludo Hellinx
1093,Ben Bervoets
1094,Liesbeth Vereertbrugghen
1095,John Vandenbergh
1096,Mohamed Barich
1097,Willy Casier
1098,Andrew Hardwidge
1099,Frank Vandezande
1100,Patrick Bellemans
1101,Dominique Devel
1102,Veerle De Ridder
1103,Katleen Verhasselt
1104,Lidija Podlesnik T om.Šikov
1105,Anton Lachky
1106,Henk Heikoop
1107,David Mahieu
1108,Zeno Meurrens
1109,Eva-Maria Van Acker
1110,Erik Verbeeck
1111,Catarina Felix
1112,Antoine Cogen
1113,Thomas van Baelen
1114,Eric Clavie
1115,Svetlana Sozdateleva
1116,Kris Motmans
1117,Marie Claire Le Pavec
1118,Idy Mbengue
1119,Filip Carre
1120,Johan Peeters
1121,Pavel Svingr
1122,Roger Pottier
1123,Hans Leerink
1124,Mònica Marti Aguiar
1125,Ahmet Yilmaz
1126,Roni Haver
1127,Sam Janssens
1128,Wennie De Ruyck
1129,Soetkin Demey
1130,Konté Amar
1131,Chiara Oscuro
1132,Jean-Baptiste Lully
1133,Jan Michiels
1134,Jullie Ann Heskin
1135,Ward De Ravet
1136,Ali Sezer
1137,Tom Smith
1138,Sarah Tynan
1139,Jean-Paul Van Den Seylberg
1140,Guy Keeren
1141,Teresa Vergho
1142,Carina Van Der Sande
1143,Egon Peeters
1144,Catherine Vandevelde
1145,Vincent Malstaf
1146,Martha Baltazar
1147,Jacoba Cuppens
1148,Kaat Korthoudt
1149,Daan Milius
1150,Rebecca Majo
1151,Kathleen De Laet
1152,Vincent Thirion
1153,George Balanchine
1154,Peter Verhelst
1155,Siemen van der Werf
1156,Céline Notebaert
1157,Dave Schroyen
1158,George Emilio Sanchez
1159,Leen Dendievel
1160,Servaas Lateur
1161,George De Decker
1162,Yu-Hsiang Hsieh
1163,Ronald Top
1164,Kay Rayée
1165,Alex Forestier
1166,Iwan Gontsjarow
1167,Noa Bromley
1168,Iman Mirsal
1169,Annelore Stubbe
1170,Jeroen De Man
1171,Stéphane Broc
1172,Koen Goossens
1173,Joost Koning
1174,Theo Buys
1175,Guido Van Hellemont
1176,Tina Pattama Soonthara
1177,Marie Peeters
1178,Daniel Lipton
1179,Peter Wright
1180,Michel Yang
1181,Victor Simek
1182,Kyra Fooy
1183,Herman Koch
1184,Bram Vandenbussche
1185,Lukas Bulteel
1186,Eva Winderix
1187,Tony Boast
1188,Filip Demeyere
1189,Arne Siebens
1190,Diederik van Remoortere
1191,Kirk Page
