,Lijst van organisaties,Count van producties
933,Bad Ass Cie,1
934,ECCE,1
935,Théâtre de la Balsamine,2
936,Scopello vzw,1
937,kleinVerhaal,3
938,Dans in Limburg,4
939,Asbest Theater-Producties,3
940,Fakkelteater,9
941,Geert Genbrugge,1
942,Yawar,5
943,Theatergroep Authentiek Antwerpen,2
944,Needcompany,154
945,Jamaa El Irakya,5
946,"t,arsenaal",37
947,Union Suspecte,52
948,Tonic,4
949,Ensemble KNS - Raamteater,12
950,Les Argonautes,4
951,Firefly,5
952,Veerle Bakelants,7
953,Klappers van Vrouwen - FMDO,1
954,De Kempvader,1
955,Rosette De Herdt,2
956,We Love Productions,7
957,Paco-Producties,2
958,BIS Produkties,2
959,Fiëbre,2
960,luxemburg,96
961,Hogeschool Antwerpen / Hoger Instituut voor Dans (HID),28
962,Paljas Produkties,84
963,Ottorongo vzw,3
964,Theater Scharlaken dak,11
965,Endewolf,2
966,Compagnie KAiET!,17
967,Musica vzw,9
968,P.A.R.T.S.FOUNDATION,2
969,Visit vzw,3
970,Het Firmament,5
971,Het ij,1
972,In vitro,6
973,Bert & Fred,2
974,Het Feestpaleis vzw,5
975,Volle Petrol,1
976,De Fluistercompagnie,1
977,Start vzw,1
978,Zulu Nation,1
979,Kloppend Hert,9
980,Detlev,1
981,Halles de Schaerbeek,2
982,detheatermaker,32
983,Terloopse Zalmen,1
984,Cie Isabella Soupart,5
985,deepblue,41
986,CC Muze Heusden-Zolder,1
987,CC Genk,6
988,Polydans Compagnie,8
989,Kreutzfeld Verein,1
990,Zefiro Torna,2
991,Kluster vzw,2
992,Balsem vzw,2
993,Katrinahof,1
994,GEN2020,12
995,KC Moonbeat,1
996,Bricolé Paté,1
997,De Zwarte Komedie,42
998,ARSENAAL/LAZARUS,2
